;Mkt-RF;SMB;HML;RMW;CMA;RF
30-06-2021;-1,66;-1,65;-2,5;1,17;-0,72;0
31-07-2021;2,09;0,35;-2,98;3,25;-2,88;0
31-08-2021;1,45;1,71;-1,18;0,23;-1,7;0
30-09-2021;-4,99;-0,35;4,3;-2,33;2,26;0
31-10-2021;4,2;-1,61;-0,64;1,46;-0,65;0
30-11-2021;-4,29;-0,99;-2,11;3,45;-1,74;0
31-12-2021;5,16;-1,04;1,86;0,55;2,81;0,01
31-01-2022;-5,39;-2,28;12,09;-5,4;5,21;0
28-02-2022;-3,77;0,42;0,57;0,69;1,77;0
31-03-2022;-0,33;0,65;0,4;-0,23;-0,14;0
30-04-2022;-5,86;-0,98;2,64;0,48;4,07;0
31-05-2022;1,27;-1,18;5,23;-2,28;1,71;0,03
30-06-2022;-10,32;-1,03;-2,46;1,71;0,21;0,06
31-07-2022;5,26;0,18;-6,01;3,35;-3,93;0,08
31-08-2022;-6,68;-0,5;5,41;-3,21;2,17;0,19
30-09-2022;-9,84;-3,51;1,25;-0,2;2,75;0,19
31-10-2022;6,66;-0,67;2,44;1,17;0,13;0,23
30-11-2022;12,64;-1,81;-1,15;1,05;-1,2;0,29
31-12-2022;-1,09;1,53;2,58;-0,85;1,04;0,33
31-01-2023;8,13;-1,36;1,14;-1,11;1,19;0,35
28-02-2023;-1,37;0,38;3,36;0,46;0,79;0,34
31-03-2023;2,04;-3,89;-6,14;3,82;-0,32;0,36
30-04-2023;3,5;-1,02;1,14;-1,38;1,06;0,35
31-05-2023;-5,7;0,96;-1,23;-0,74;0,11;0,36
30-06-2023;4,2;-2,24;2,41;0,1;0,86;0,4
31-07-2023;2,44;0,48;2,74;-1,54;0,68;0,45
31-08-2023;-4,6;-0,32;1,66;0,7;1,8;0,45
30-09-2023;-4,97;-1,36;3,54;0,13;1,31;0,43
31-10-2023;-4,37;-1,97;0,78;0,57;0,81;0,47
30-11-2023;9,21;-0,26;-0,91;-1,24;-2,49;0,44
